molecule,basis,alpha_ref,alpha_rpa_pbe,alpha_rpa_hf,err_pbe_%,err_hf_%
h2,augccpvdz,5.43,4.58,2.94,-15.67,-45.86
n2,augccpvdz,11.74,10.80,7.37,-7.97,-37.26
co,augccpvdz,13.08,11.87,7.62,-9.27,-41.73
water,augccpvdz,9.64,8.64,5.13,-10.33,-46.75
nh3,augccpvdz,14.56,12.90,7.81,-11.42,-46.35
ch4,augccpvdz,17.27,15.17,9.75,-12.14,-43.53
co2,augccpvdz,17.51,15.60,10.03,-10.89,-42.74
c2h2,augccpvdz,22.45,20.47,13.97,-8.83,-37.77
c2h4,augccpvdz,27.70,24.77,16.36,-10.59,-40.93
c2h6,augccpvdz,29.61,26.16,16.69,-11.64,-43.63
hf,augccpvdz,5.60,4.81,2.88,-14.03,-48.59
hcl,augccpvdz,17.39,14.48,9.89,-16.72,-43.14
h2s,augccpvdz,24.71,20.86,13.97,-15.60,-43.48
benzene,augccpvdz,67.48,63.49,42.91,-5.91,-36.42
o2,augccpvdz,10.59,8.89,6.04,-16.05,-42.97
h2,augccpvtz,5.43,4.78,3.02,-12.04,-44.43
n2,augccpvtz,11.74,11.00,7.49,-6.33,-36.17
co,augccpvtz,13.08,12.10,7.74,-7.46,-40.86
water,augccpvtz,9.64,9.01,5.30,-6.50,-45.01
nh3,augccpvtz,14.56,13.30,7.95,-8.68,-45.40
ch4,augccpvtz,17.27,15.32,9.79,-11.31,-43.34
co2,augccpvtz,17.51,16.05,10.25,-8.36,-41.47
c2h2,augccpvtz,22.45,21.02,14.26,-6.36,-36.46
c2h4,augccpvtz,27.70,25.06,16.49,-9.53,-40.46
c2h6,augccpvtz,29.61,26.33,16.72,-11.09,-43.53
hf,augccpvtz,5.60,5.22,3.11,-6.73,-44.54
hcl,augccpvtz,17.39,15.58,10.42,-10.38,-40.06
h2s,augccpvtz,24.71,21.99,14.46,-11.00,-41.48
benzene,augccpvtz,67.48,63.82,43.03,-5.42,-36.24
o2,augccpvtz,10.59,9.40,6.29,-11.20,-40.56
