molecule,basis,dosd,rpa_pbe,rpa_hf,ts,err_pbe_%,err_hf_%,err_ts_%,approx
h2,augccpvdz,12.10,9.22,6.30,9.83,-23.80,-47.89,-18.75,
n2,augccpvdz,73.30,63.98,49.84,81.55,-12.71,-32.01,11.25,
co,augccpvdz,81.40,68.55,49.90,135.79,-15.79,-38.69,66.82,
water,augccpvdz,45.30,38.05,24.55,65.23,-16.01,-45.80,43.99,
nh3,augccpvdz,89.00,73.15,48.70,99.23,-17.81,-45.28,11.50,
ch4,augccpvdz,129.70,105.33,72.96,153.27,-18.79,-43.74,18.17,
co2,augccpvdz,158.70,133.24,94.96,240.49,-16.04,-40.16,51.54,
c2h2,augccpvdz,204.10,170.59,134.45,254.66,-16.42,-34.12,24.77,
c2h4,augccpvdz,300.20,249.91,185.36,362.82,-16.75,-38.26,20.86,
c2h6,augccpvdz,381.90,312.52,215.26,474.90,-18.17,-43.64,24.35,
hf,augccpvdz,19.00,15.14,9.81,21.25,-20.31,-48.35,11.83,
hcl,augccpvdz,130.40,99.96,76.58,132.61,-23.34,-41.27,1.69,
h2s,augccpvdz,216.80,173.04,130.93,849.93,-20.18,-39.61,292.03,
benzene,augccpvdz,1765.00,1538.22,1199.69,2088.53,-12.85,-32.03,18.33,
o2,augccpvdz,70.00,48.88,37.82,111.68,-30.18,-45.97,59.54,yes
h2,augccpvtz,12.10,9.74,6.53,10.12,-19.49,-46.07,-16.38,
n2,augccpvtz,73.30,65.54,50.67,81.52,-10.58,-30.87,11.21,
co,augccpvtz,81.40,70.56,50.80,89.84,-13.31,-37.59,10.37,
water,augccpvtz,45.30,40.35,25.57,51.19,-10.93,-43.56,13.01,
nh3,augccpvtz,89.00,75.66,49.63,98.65,-14.99,-44.23,10.84,
ch4,augccpvtz,129.70,106.10,73.18,144.92,-18.19,-43.58,11.74,
co2,augccpvtz,158.70,138.77,97.47,155.58,-12.56,-38.58,-1.97,
c2h2,augccpvtz,204.10,176.17,137.18,233.98,-13.69,-32.79,14.64,
c2h4,augccpvtz,300.20,252.97,186.64,337.10,-15.73,-37.83,12.29,
c2h6,augccpvtz,381.90,314.14,215.59,445.30,-17.74,-43.55,16.60,
hf,augccpvtz,19.00,17.32,10.88,21.06,-8.82,-42.73,10.83,
hcl,augccpvtz,130.40,108.44,80.73,132.77,-16.84,-38.09,1.82,
h2s,augccpvtz,216.80,182.67,135.06,225.35,-15.74,-37.70,3.95,
benzene,augccpvtz,1765.00,1548.49,1201.99,2072.41,-12.27,-31.90,17.42,
o2,augccpvtz,70.00,52.78,39.51,54.55,-24.60,-43.56,-22.08,yes
