molecule,class,basis,ref,rpa_pbe,rpa_hf,ts,err_pbe_%,err_hf_%,err_ts_%
so2,probe,augccpvdz,294.0,256.9,183.3,1742.1,-12.6,-37.6,492.6
cs2,probe,augccpvdz,871.1,775.7,643.1,4837.5,-11.0,-26.2,455.3
cos,probe,augccpvdz,402.2,365.6,284.8,1637.4,-9.1,-29.2,307.1
n2o,probe,augccpvdz,184.9,156.5,119.6,211.8,-15.4,-35.3,14.5
cl2,probe,augccpvdz,389.2,313.8,243.4,362.3,-19.4,-37.5,-6.9
hbr,probe,augccpvdz,216.6,166.7,129.9,104.4,-23.0,-40.0,-51.8
sih4,control,augccpvdz,343.9,289.3,186.9,1974.9,-15.9,-45.6,474.3
ccl4,control,augccpvdz,2024.1,1755.3,1267.6,1993.9,-13.3,-37.4,-1.5
ch3oh,control,augccpvdz,222.0,186.3,123.2,322.4,-16.1,-44.5,45.2
ch3och3,control,augccpvdz,534.1,452.9,296.4,802.2,-15.2,-44.5,50.2
so2,probe,augccpvtz,294.0,263.8,186.4,313.0,-10.3,-36.6,6.5
cs2,probe,augccpvtz,871.1,797.2,654.2,784.2,-8.5,-24.9,-10.0
cos,probe,augccpvtz,402.2,377.1,290.5,410.8,-6.2,-27.8,2.1
n2o,probe,augccpvtz,184.9,161.9,122.1,157.1,-12.4,-34.0,-15.0
cl2,probe,augccpvtz,389.2,335.5,252.7,361.6,-13.8,-35.1,-7.1
hbr,probe,augccpvtz,216.6,185.3,139.7,126.9,-14.4,-35.5,-41.4
sih4,control,augccpvtz,343.9,288.0,183.9,1966.5,-16.3,-46.5,471.8
ccl4,control,augccpvtz,2024.1,1810.2,1289.3,1984.8,-10.6,-36.3,-1.9
ch3oh,control,augccpvtz,222.0,189.2,124.4,252.2,-14.8,-44.0,13.6
ch3och3,control,augccpvtz,534.1,455.9,297.3,625.8,-14.6,-44.3,17.2
