molecule,round,class,ref_c6,rpa_pbe_c6,ts_c6,err_pbe_pct,err_ts_pct,abs_err_pbe_pct,abs_err_ts_pct,source
h2,dosd,first-row,12.1,9.74,10.164,-19.504132231404956,-16.0,19.504132231404956,16.0,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
n2,dosd,first-row,73.3,65.54,81.517,-10.586630286493849,11.210095497953613,10.586630286493849,11.210095497953613,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
co,dosd,first-row,81.4,70.56,89.6,-13.316953316953322,10.073710073710059,13.316953316953322,10.073710073710059,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
water,dosd,first-row,45.3,40.35,51.021,-10.927152317880786,12.62913907284769,10.927152317880786,12.62913907284769,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
nh3,dosd,first-row,89.0,75.66,98.81,-14.988764044943826,11.022471910112362,14.988764044943826,11.022471910112362,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
ch4,dosd,first-row,129.7,106.1,145.183,-18.195836545875096,11.93754818812645,18.195836545875096,11.93754818812645,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
co2,dosd,first-row,158.7,138.77,154.883,-12.558286074354115,-2.405166981726515,12.558286074354115,2.405166981726515,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
c2h2,dosd,first-row,204.1,176.17,234.157,-13.6844683978442,14.726604605585505,13.6844683978442,14.726604605585505,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
c2h4,dosd,first-row,300.2,252.97,337.47,-15.732844770153228,12.41505662891407,15.732844770153228,12.41505662891407,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
c2h6,dosd,first-row,381.9,314.14,445.858,-17.742864624247183,16.747316051322343,17.742864624247183,16.747316051322343,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
hf,dosd,first-row,19.0,17.32,21.126,-8.842105263157894,11.189473684210533,8.842105263157894,11.189473684210533,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
hcl,dosd,first-row,130.4,108.44,132.936,-16.840490797546018,1.9447852760736206,16.840490797546018,1.9447852760736206,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
h2s,dosd,first-row,216.8,182.67,224.964,-15.742619926199271,3.765682656826562,15.742619926199271,3.765682656826562,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
benzene,dosd,first-row,1765.0,1548.49,2073.411,-12.26685552407932,17.473711048158645,12.26685552407932,17.473711048158645,Meath-school DOSD (docs/dosd-c6-rpa-vs-ts.md)
so2,dosd2,probe,294.0,263.8,311.603,-10.272108843537412,5.987414965986398,10.272108843537412,5.987414965986398,Toulouse et al. arXiv:1305.0107 Table III (docs/ts-failure-modes.md)
cs2,dosd2,probe,871.1,797.2,782.47,-8.483526575594075,-10.174492021581907,8.483526575594075,10.174492021581907,Toulouse et al. arXiv:1305.0107 Table III (docs/ts-failure-modes.md)
cos,dosd2,probe,402.2,377.1,409.593,-6.240676280457475,1.8381402287419268,6.240676280457475,1.8381402287419268,Toulouse et al. arXiv:1305.0107 Table III (docs/ts-failure-modes.md)
n2o,dosd2,probe,184.9,161.9,156.795,-12.439156300703083,-15.200108166576538,12.439156300703083,15.200108166576538,Toulouse et al. arXiv:1305.0107 Table III (docs/ts-failure-modes.md)
cl2,dosd2,probe,389.2,335.5,361.918,-13.797533401849947,-7.009763617677282,13.797533401849947,7.009763617677282,Toulouse et al. arXiv:1305.0107 Table III (docs/ts-failure-modes.md)
hbr,dosd2,probe,216.6,185.3,241.426,-14.450600184672199,11.461680517082177,14.450600184672199,11.461680517082177,Toulouse et al. arXiv:1305.0107 Table III (docs/ts-failure-modes.md)
sih4,dosd2,control,343.9,288.0,442.635,-16.254725210817092,28.710380924687417,16.254725210817092,28.710380924687417,Toulouse et al. arXiv:1305.0107 Table III (docs/ts-failure-modes.md)
ccl4,dosd2,control,2024.1,1810.2,1985.947,-10.56765970060767,-1.8849365149943196,10.56765970060767,1.8849365149943196,Toulouse et al. arXiv:1305.0107 Table III (docs/ts-failure-modes.md)
ch3oh,dosd2,control,222.0,189.2,251.972,-14.774774774774778,13.500900900900904,14.774774774774778,13.500900900900904,Toulouse et al. arXiv:1305.0107 Table III (docs/ts-failure-modes.md)
ch3och3,dosd2,control,534.1,455.9,625.791,-14.641452911439814,17.167384384946644,14.641452911439814,17.167384384946644,Toulouse et al. arXiv:1305.0107 Table III (docs/ts-failure-modes.md)
