mol	atoms	thresh	g0w0_ev	d_ip_mev	wall_s	speedup
H2O	3	0	12.491	0.0	4.5	1.00
H2O	3	1e-4	12.491	0.0	4.2	1.07
H2O	3	1e-3	12.491	0.0	4.1	1.10
H2O	3	1e-2	12.493	2.0	3.9	1.15
C2H4	6	0	10.399	0.0	10.6	1.00
C2H4	6	1e-4	10.399	0.0	9.5	1.12
C2H4	6	1e-3	10.399	0.0	9.5	1.12
C2H4	6	1e-2	10.400	1.0	9.5	1.12
C6H6	12	0	9.212	0.0	18.6	1.00
C6H6	12	1e-4	9.212	0.0	17.1	1.09
C6H6	12	1e-3	9.212	0.0	16.2	1.15
C6H6	12	1e-2	9.213	1.0	14.5	1.28
C7H8	15	0	8.839	0.0	40.0	1.00
C7H8	15	1e-4	8.839	0.0	35.8	1.12
C7H8	15	1e-3	8.840	1.0	32.5	1.23
C7H8	15	1e-2	8.840	1.0	31.5	1.27
